Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norrköping;86360;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1964-04-30 23:59:59;3.0;58.606;16.2127

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-02-04 00:00:01;1961-02-05 00:00:00;1961-02-04;-4.8;Y
1961-02-05 00:00:01;1961-02-06 00:00:00;1961-02-05;-8.4;Y
1961-02-06 00:00:01;1961-02-07 00:00:00;1961-02-06;-1.9;Y
1961-02-07 00:00:01;1961-02-08 00:00:00;1961-02-07;4.2;Y
1961-02-08 00:00:01;1961-02-09 00:00:00;1961-02-08;0.8;Y
1961-02-09 00:00:01;1961-02-10 00:00:00;1961-02-09;0.4;Y
1961-02-10 00:00:01;1961-02-11 00:00:00;1961-02-10;1.0;Y
1961-02-11 00:00:01;1961-02-12 00:00:00;1961-02-11;3.9;Y
1961-02-12 00:00:01;1961-02-13 00:00:00;1961-02-12;1.4;Y
1961-02-13 00:00:01;1961-02-14 00:00:00;1961-02-13;-0.9;Y
1961-02-14 00:00:01;1961-02-15 00:00:00;1961-02-14;5.4;Y
1961-02-15 00:00:01;1961-02-16 00:00:00;1961-02-15;4.1;Y
1961-02-16 00:00:01;1961-02-17 00:00:00;1961-02-16;4.0;Y
1961-02-17 00:00:01;1961-02-18 00:00:00;1961-02-17;5.7;Y
1961-02-18 00:00:01;1961-02-19 00:00:00;1961-02-18;5.8;Y
1961-02-19 00:00:01;1961-02-20 00:00:00;1961-02-19;3.1;Y
1961-02-20 00:00:01;1961-02-21 00:00:00;1961-02-20;4.7;Y
1961-02-21 00:00:01;1961-02-22 00:00:00;1961-02-21;4.6;Y
1961-02-22 00:00:01;1961-02-23 00:00:00;1961-02-22;0.9;Y
1961-02-23 00:00:01;1961-02-24 00:00:00;1961-02-23;-0.3;Y
1961-02-24 00:00:01;1961-02-25 00:00:00;1961-02-24;-0.6;Y
1961-02-25 00:00:01;1961-02-26 00:00:00;1961-02-25;2.4;Y
1961-02-26 00:00:01;1961-02-27 00:00:00;1961-02-26;2.7;Y
1961-02-27 00:00:01;1961-02-28 00:00:00;1961-02-27;6.5;Y
1961-02-28 00:00:01;1961-03-01 00:00:00;1961-02-28;3.6;Y
1961-03-01 00:00:01;1961-03-02 00:00:00;1961-03-01;3.2;Y
1961-03-02 00:00:01;1961-03-03 00:00:00;1961-03-02;3.7;Y
1961-03-03 00:00:01;1961-03-04 00:00:00;1961-03-03;5.2;Y
1961-03-04 00:00:01;1961-03-05 00:00:00;1961-03-04;6.2;Y
1961-03-05 00:00:01;1961-03-06 00:00:00;1961-03-05;5.5;Y
1961-03-06 00:00:01;1961-03-07 00:00:00;1961-03-06;6.9;Y
1961-03-07 00:00:01;1961-03-08 00:00:00;1961-03-07;8.5;Y
1961-03-08 00:00:01;1961-03-09 00:00:00;1961-03-08;6.3;Y
1961-03-09 00:00:01;1961-03-10 00:00:00;1961-03-09;9.5;Y
1961-03-10 00:00:01;1961-03-11 00:00:00;1961-03-10;8.8;Y
1961-03-11 00:00:01;1961-03-12 00:00:00;1961-03-11;7.7;Y
1961-03-12 00:00:01;1961-03-13 00:00:00;1961-03-12;7.0;Y
1961-03-13 00:00:01;1961-03-14 00:00:00;1961-03-13;3.0;Y
1961-03-14 00:00:01;1961-03-15 00:00:00;1961-03-14;5.2;Y
1961-03-15 00:00:01;1961-03-16 00:00:00;1961-03-15;5.5;Y
1961-03-16 00:00:01;1961-03-17 00:00:00;1961-03-16;8.7;Y
1961-03-17 00:00:01;1961-03-18 00:00:00;1961-03-17;8.1;Y
1961-03-18 00:00:01;1961-03-19 00:00:00;1961-03-18;3.9;Y
1961-03-19 00:00:01;1961-03-20 00:00:00;1961-03-19;-0.8;Y
1961-03-20 00:00:01;1961-03-21 00:00:00;1961-03-20;0.0;Y
1961-03-21 00:00:01;1961-03-22 00:00:00;1961-03-21;-0.9;Y
1961-03-22 00:00:01;1961-03-23 00:00:00;1961-03-22;-0.3;Y
1961-03-23 00:00:01;1961-03-24 00:00:00;1961-03-23;5.8;Y
1961-03-24 00:00:01;1961-03-25 00:00:00;1961-03-24;6.4;Y
1961-03-25 00:00:01;1961-03-26 00:00:00;1961-03-25;5.2;Y
1961-03-26 00:00:01;1961-03-27 00:00:00;1961-03-26;7.5;Y
1961-03-27 00:00:01;1961-03-28 00:00:00;1961-03-27;3.9;Y
1961-03-28 00:00:01;1961-03-29 00:00:00;1961-03-28;3.5;Y
1961-03-29 00:00:01;1961-03-30 00:00:00;1961-03-29;1.5;Y
1961-03-30 00:00:01;1961-03-31 00:00:00;1961-03-30;0.7;Y
1961-03-31 00:00:01;1961-04-01 00:00:00;1961-03-31;-0.2;Y
1961-04-01 00:00:01;1961-04-02 00:00:00;1961-04-01;1.0;Y
1961-04-02 00:00:01;1961-04-03 00:00:00;1961-04-02;1.3;Y
1961-04-03 00:00:01;1961-04-04 00:00:00;1961-04-03;0.1;Y
1961-04-04 00:00:01;1961-04-05 00:00:00;1961-04-04;0.2;Y
1961-04-05 00:00:01;1961-04-06 00:00:00;1961-04-05;0.2;Y
1961-04-06 00:00:01;1961-04-07 00:00:00;1961-04-06;3.1;Y
1961-04-07 00:00:01;1961-04-08 00:00:00;1961-04-07;5.4;Y
1961-04-08 00:00:01;1961-04-09 00:00:00;1961-04-08;2.8;Y
1961-04-09 00:00:01;1961-04-10 00:00:00;1961-04-09;2.9;Y
1961-04-10 00:00:01;1961-04-11 00:00:00;1961-04-10;3.9;Y
1961-04-11 00:00:01;1961-04-12 00:00:00;1961-04-11;4.4;Y
1961-04-12 00:00:01;1961-04-13 00:00:00;1961-04-12;4.6;Y
1961-04-13 00:00:01;1961-04-14 00:00:00;1961-04-13;7.9;Y
1961-04-14 00:00:01;1961-04-15 00:00:00;1961-04-14;10.4;Y
1961-04-15 00:00:01;1961-04-16 00:00:00;1961-04-15;10.6;Y
1961-04-16 00:00:01;1961-04-17 00:00:00;1961-04-16;9.3;Y
1961-04-17 00:00:01;1961-04-18 00:00:00;1961-04-17;8.6;Y
1961-04-18 00:00:01;1961-04-19 00:00:00;1961-04-18;7.8;Y
1961-04-19 00:00:01;1961-04-20 00:00:00;1961-04-19;7.4;Y
1961-04-20 00:00:01;1961-04-21 00:00:00;1961-04-20;5.2;Y
1961-04-21 00:00:01;1961-04-22 00:00:00;1961-04-21;5.2;Y
1961-04-22 00:00:01;1961-04-23 00:00:00;1961-04-22;6.0;Y
1961-04-23 00:00:01;1961-04-24 00:00:00;1961-04-23;7.3;Y
1961-04-24 00:00:01;1961-04-25 00:00:00;1961-04-24;11.0;Y
1961-04-25 00:00:01;1961-04-26 00:00:00;1961-04-25;10.9;Y
1961-04-26 00:00:01;1961-04-27 00:00:00;1961-04-26;10.6;Y
1961-04-27 00:00:01;1961-04-28 00:00:00;1961-04-27;10.5;Y
1961-04-28 00:00:01;1961-04-29 00:00:00;1961-04-28;5.1;Y
1961-04-29 00:00:01;1961-04-30 00:00:00;1961-04-29;6.6;Y
1961-04-30 00:00:01;1961-05-01 00:00:00;1961-04-30;7.2;Y
1961-05-01 00:00:01;1961-05-02 00:00:00;1961-05-01;6.9;Y
1961-05-02 00:00:01;1961-05-03 00:00:00;1961-05-02;6.1;Y
1961-05-03 00:00:01;1961-05-04 00:00:00;1961-05-03;6.8;Y
1961-05-04 00:00:01;1961-05-05 00:00:00;1961-05-04;10.4;Y
1961-05-05 00:00:01;1961-05-06 00:00:00;1961-05-05;7.5;Y
1961-05-06 00:00:01;1961-05-07 00:00:00;1961-05-06;11.5;Y
1961-05-07 00:00:01;1961-05-08 00:00:00;1961-05-07;10.7;Y
1961-05-08 00:00:01;1961-05-09 00:00:00;1961-05-08;9.3;Y
1961-05-09 00:00:01;1961-05-10 00:00:00;1961-05-09;6.5;Y
1961-05-10 00:00:01;1961-05-11 00:00:00;1961-05-10;7.2;Y
1961-05-11 00:00:01;1961-05-12 00:00:00;1961-05-11;8.4;Y
1961-05-12 00:00:01;1961-05-13 00:00:00;1961-05-12;9.2;Y
1961-05-13 00:00:01;1961-05-14 00:00:00;1961-05-13;9.9;Y
1961-05-14 00:00:01;1961-05-15 00:00:00;1961-05-14;7.3;Y
1961-05-15 00:00:01;1961-05-16 00:00:00;1961-05-15;9.3;Y
1961-05-16 00:00:01;1961-05-17 00:00:00;1961-05-16;10.1;Y
1961-05-17 00:00:01;1961-05-18 00:00:00;1961-05-17;11.8;Y
1961-05-18 00:00:01;1961-05-19 00:00:00;1961-05-18;12.4;Y
1961-05-19 00:00:01;1961-05-20 00:00:00;1961-05-19;11.0;Y
1961-05-20 00:00:01;1961-05-21 00:00:00;1961-05-20;7.6;Y
1961-05-21 00:00:01;1961-05-22 00:00:00;1961-05-21;11.8;Y
1961-05-22 00:00:01;1961-05-23 00:00:00;1961-05-22;13.4;Y
1961-05-23 00:00:01;1961-05-24 00:00:00;1961-05-23;10.9;Y
1961-05-24 00:00:01;1961-05-25 00:00:00;1961-05-24;12.6;Y
1961-05-25 00:00:01;1961-05-26 00:00:00;1961-05-25;12.3;Y
1961-05-26 00:00:01;1961-05-27 00:00:00;1961-05-26;12.0;Y
1961-05-27 00:00:01;1961-05-28 00:00:00;1961-05-27;10.0;Y
1961-05-28 00:00:01;1961-05-29 00:00:00;1961-05-28;10.0;Y
1961-05-29 00:00:01;1961-05-30 00:00:00;1961-05-29;9.7;Y
1961-05-30 00:00:01;1961-05-31 00:00:00;1961-05-30;14.7;Y
1961-05-31 00:00:01;1961-06-01 00:00:00;1961-05-31;15.7;Y
1961-06-01 00:00:01;1961-06-02 00:00:00;1961-06-01;14.9;Y
1961-06-02 00:00:01;1961-06-03 00:00:00;1961-06-02;15.5;Y
1961-06-03 00:00:01;1961-06-04 00:00:00;1961-06-03;16.8;Y
1961-06-04 00:00:01;1961-06-05 00:00:00;1961-06-04;19.3;Y
1961-06-05 00:00:01;1961-06-06 00:00:00;1961-06-05;19.5;Y
1961-06-06 00:00:01;1961-06-07 00:00:00;1961-06-06;19.4;Y
1961-06-07 00:00:01;1961-06-08 00:00:00;1961-06-07;19.9;Y
1961-06-08 00:00:01;1961-06-09 00:00:00;1961-06-08;17.8;Y
1961-06-09 00:00:01;1961-06-10 00:00:00;1961-06-09;18.0;Y
1961-06-10 00:00:01;1961-06-11 00:00:00;1961-06-10;15.8;Y
1961-06-11 00:00:01;1961-06-12 00:00:00;1961-06-11;15.7;Y
1961-06-12 00:00:01;1961-06-13 00:00:00;1961-06-12;17.8;Y
1961-06-13 00:00:01;1961-06-14 00:00:00;1961-06-13;16.8;Y
1961-06-14 00:00:01;1961-06-15 00:00:00;1961-06-14;16.9;Y
1961-06-15 00:00:01;1961-06-16 00:00:00;1961-06-15;15.3;Y
1961-06-16 00:00:01;1961-06-17 00:00:00;1961-06-16;12.8;Y
1961-06-17 00:00:01;1961-06-18 00:00:00;1961-06-17;15.9;Y
1961-06-18 00:00:01;1961-06-19 00:00:00;1961-06-18;17.0;Y
1961-06-19 00:00:01;1961-06-20 00:00:00;1961-06-19;14.1;Y
1961-06-20 00:00:01;1961-06-21 00:00:00;1961-06-20;14.5;Y
1961-06-21 00:00:01;1961-06-22 00:00:00;1961-06-21;14.8;Y
1961-06-22 00:00:01;1961-06-23 00:00:00;1961-06-22;14.0;Y
1961-06-23 00:00:01;1961-06-24 00:00:00;1961-06-23;14.0;Y
1961-06-24 00:00:01;1961-06-25 00:00:00;1961-06-24;13.4;Y
1961-06-25 00:00:01;1961-06-26 00:00:00;1961-06-25;14.8;Y
1961-06-26 00:00:01;1961-06-27 00:00:00;1961-06-26;15.7;Y
1961-06-27 00:00:01;1961-06-28 00:00:00;1961-06-27;14.4;Y
1961-06-28 00:00:01;1961-06-29 00:00:00;1961-06-28;14.7;Y
1961-06-29 00:00:01;1961-06-30 00:00:00;1961-06-29;16.3;Y
1961-06-30 00:00:01;1961-07-01 00:00:00;1961-06-30;18.9;Y
1961-07-01 00:00:01;1961-07-02 00:00:00;1961-07-01;19.9;Y
1961-07-02 00:00:01;1961-07-03 00:00:00;1961-07-02;21.6;Y
1961-07-03 00:00:01;1961-07-04 00:00:00;1961-07-03;20.1;Y
1961-07-04 00:00:01;1961-07-05 00:00:00;1961-07-04;14.3;Y
1961-07-05 00:00:01;1961-07-06 00:00:00;1961-07-05;13.3;Y
1961-07-06 00:00:01;1961-07-07 00:00:00;1961-07-06;14.2;Y
1961-07-07 00:00:01;1961-07-08 00:00:00;1961-07-07;14.2;Y
1961-07-08 00:00:01;1961-07-09 00:00:00;1961-07-08;15.3;Y
1961-07-09 00:00:01;1961-07-10 00:00:00;1961-07-09;14.7;Y
1961-07-10 00:00:01;1961-07-11 00:00:00;1961-07-10;14.6;Y
1961-07-11 00:00:01;1961-07-12 00:00:00;1961-07-11;14.3;Y
1961-07-12 00:00:01;1961-07-13 00:00:00;1961-07-12;15.4;Y
1961-07-13 00:00:01;1961-07-14 00:00:00;1961-07-13;14.7;Y
1961-07-14 00:00:01;1961-07-15 00:00:00;1961-07-14;16.5;Y
1961-07-15 00:00:01;1961-07-16 00:00:00;1961-07-15;17.2;Y
1961-07-16 00:00:01;1961-07-17 00:00:00;1961-07-16;17.8;Y
1961-07-17 00:00:01;1961-07-18 00:00:00;1961-07-17;18.5;Y
1961-07-18 00:00:01;1961-07-19 00:00:00;1961-07-18;16.9;Y
1961-07-19 00:00:01;1961-07-20 00:00:00;1961-07-19;16.7;Y
1961-07-20 00:00:01;1961-07-21 00:00:00;1961-07-20;16.1;Y
1961-07-21 00:00:01;1961-07-22 00:00:00;1961-07-21;16.5;Y
1961-07-22 00:00:01;1961-07-23 00:00:00;1961-07-22;16.0;Y
1961-07-23 00:00:01;1961-07-24 00:00:00;1961-07-23;15.8;Y
1961-07-24 00:00:01;1961-07-25 00:00:00;1961-07-24;17.6;Y
1961-07-25 00:00:01;1961-07-26 00:00:00;1961-07-25;15.0;Y
1961-07-26 00:00:01;1961-07-27 00:00:00;1961-07-26;14.4;Y
1961-07-27 00:00:01;1961-07-28 00:00:00;1961-07-27;15.4;Y
1961-07-28 00:00:01;1961-07-29 00:00:00;1961-07-28;14.7;Y
1961-07-29 00:00:01;1961-07-30 00:00:00;1961-07-29;17.1;Y
1961-07-30 00:00:01;1961-07-31 00:00:00;1961-07-30;17.0;Y
1961-07-31 00:00:01;1961-08-01 00:00:00;1961-07-31;15.0;Y
1961-08-01 00:00:01;1961-08-02 00:00:00;1961-08-01;15.6;Y
1961-08-02 00:00:01;1961-08-03 00:00:00;1961-08-02;16.1;Y
1961-08-03 00:00:01;1961-08-04 00:00:00;1961-08-03;15.7;Y
1961-08-04 00:00:01;1961-08-05 00:00:00;1961-08-04;13.0;Y
1961-08-05 00:00:01;1961-08-06 00:00:00;1961-08-05;15.6;Y
1961-08-06 00:00:01;1961-08-07 00:00:00;1961-08-06;16.2;Y
1961-08-07 00:00:01;1961-08-08 00:00:00;1961-08-07;15.7;Y
1961-08-08 00:00:01;1961-08-09 00:00:00;1961-08-08;16.6;Y
1961-08-09 00:00:01;1961-08-10 00:00:00;1961-08-09;16.3;Y
1961-08-10 00:00:01;1961-08-11 00:00:00;1961-08-10;16.3;Y
1961-08-11 00:00:01;1961-08-12 00:00:00;1961-08-11;15.1;Y
1961-08-12 00:00:01;1961-08-13 00:00:00;1961-08-12;15.4;Y
1961-08-13 00:00:01;1961-08-14 00:00:00;1961-08-13;14.0;Y
1961-08-14 00:00:01;1961-08-15 00:00:00;1961-08-14;13.2;Y
1961-08-15 00:00:01;1961-08-16 00:00:00;1961-08-15;14.3;Y
1961-08-16 00:00:01;1961-08-17 00:00:00;1961-08-16;13.7;Y
1961-08-17 00:00:01;1961-08-18 00:00:00;1961-08-17;13.0;Y
1961-08-18 00:00:01;1961-08-19 00:00:00;1961-08-18;13.7;Y
1961-08-19 00:00:01;1961-08-20 00:00:00;1961-08-19;14.4;Y
1961-08-20 00:00:01;1961-08-21 00:00:00;1961-08-20;15.3;Y
1961-08-21 00:00:01;1961-08-22 00:00:00;1961-08-21;14.8;Y
1961-08-22 00:00:01;1961-08-23 00:00:00;1961-08-22;13.9;Y
1961-08-23 00:00:01;1961-08-24 00:00:00;1961-08-23;12.8;Y
1961-08-24 00:00:01;1961-08-25 00:00:00;1961-08-24;14.4;Y
1961-08-25 00:00:01;1961-08-26 00:00:00;1961-08-25;12.1;Y
1961-08-26 00:00:01;1961-08-27 00:00:00;1961-08-26;13.6;Y
1961-08-27 00:00:01;1961-08-28 00:00:00;1961-08-27;16.8;Y
1961-08-28 00:00:01;1961-08-29 00:00:00;1961-08-28;15.7;Y
1961-08-29 00:00:01;1961-08-30 00:00:00;1961-08-29;17.0;Y
1961-08-30 00:00:01;1961-08-31 00:00:00;1961-08-30;17.5;Y
1961-08-31 00:00:01;1961-09-01 00:00:00;1961-08-31;19.2;Y
1961-09-01 00:00:01;1961-09-02 00:00:00;1961-09-01;19.4;Y
1961-09-02 00:00:01;1961-09-03 00:00:00;1961-09-02;17.3;Y
1961-09-03 00:00:01;1961-09-04 00:00:00;1961-09-03;14.4;Y
1961-09-04 00:00:01;1961-09-05 00:00:00;1961-09-04;12.2;Y
1961-09-05 00:00:01;1961-09-06 00:00:00;1961-09-05;13.0;Y
1961-09-06 00:00:01;1961-09-07 00:00:00;1961-09-06;11.6;Y
1961-09-07 00:00:01;1961-09-08 00:00:00;1961-09-07;11.8;Y
1961-09-08 00:00:01;1961-09-09 00:00:00;1961-09-08;13.1;Y
1961-09-09 00:00:01;1961-09-10 00:00:00;1961-09-09;11.1;Y
1961-09-10 00:00:01;1961-09-11 00:00:00;1961-09-10;12.5;Y
1961-09-11 00:00:01;1961-09-12 00:00:00;1961-09-11;12.2;Y
1961-09-12 00:00:01;1961-09-13 00:00:00;1961-09-12;15.0;Y
1961-09-13 00:00:01;1961-09-14 00:00:00;1961-09-13;14.0;Y
1961-09-14 00:00:01;1961-09-15 00:00:00;1961-09-14;13.2;Y
1961-09-15 00:00:01;1961-09-16 00:00:00;1961-09-15;14.6;Y
1961-09-16 00:00:01;1961-09-17 00:00:00;1961-09-16;17.8;Y
1961-09-17 00:00:01;1961-09-18 00:00:00;1961-09-17;18.5;Y
1961-09-18 00:00:01;1961-09-19 00:00:00;1961-09-18;15.4;Y
1961-09-19 00:00:01;1961-09-20 00:00:00;1961-09-19;12.5;Y
1961-09-20 00:00:01;1961-09-21 00:00:00;1961-09-20;10.5;Y
1961-09-21 00:00:01;1961-09-22 00:00:00;1961-09-21;10.5;Y
1961-09-22 00:00:01;1961-09-23 00:00:00;1961-09-22;12.0;Y
1961-09-23 00:00:01;1961-09-24 00:00:00;1961-09-23;10.1;Y
1961-09-24 00:00:01;1961-09-25 00:00:00;1961-09-24;9.7;Y
1961-09-25 00:00:01;1961-09-26 00:00:00;1961-09-25;10.6;Y
1961-09-26 00:00:01;1961-09-27 00:00:00;1961-09-26;11.0;Y
1961-09-27 00:00:01;1961-09-28 00:00:00;1961-09-27;7.4;Y
1961-09-28 00:00:01;1961-09-29 00:00:00;1961-09-28;11.5;Y
1961-09-29 00:00:01;1961-09-30 00:00:00;1961-09-29;14.6;Y
1961-09-30 00:00:01;1961-10-01 00:00:00;1961-09-30;13.6;Y
1961-10-01 00:00:01;1961-10-02 00:00:00;1961-10-01;12.5;Y
1961-10-02 00:00:01;1961-10-03 00:00:00;1961-10-02;11.5;Y
1961-10-03 00:00:01;1961-10-04 00:00:00;1961-10-03;12.3;Y
1961-10-04 00:00:01;1961-10-05 00:00:00;1961-10-04;12.2;Y
1961-10-05 00:00:01;1961-10-06 00:00:00;1961-10-05;12.8;Y
1961-10-06 00:00:01;1961-10-07 00:00:00;1961-10-06;12.5;Y
1961-10-07 00:00:01;1961-10-08 00:00:00;1961-10-07;13.1;Y
1961-10-08 00:00:01;1961-10-09 00:00:00;1961-10-08;10.5;Y
1961-10-09 00:00:01;1961-10-10 00:00:00;1961-10-09;12.7;Y
1961-10-10 00:00:01;1961-10-11 00:00:00;1961-10-10;15.5;Y
1961-10-11 00:00:01;1961-10-12 00:00:00;1961-10-11;16.3;Y
1961-10-12 00:00:01;1961-10-13 00:00:00;1961-10-12;12.2;Y
1961-10-13 00:00:01;1961-10-14 00:00:00;1961-10-13;10.5;Y
1961-10-14 00:00:01;1961-10-15 00:00:00;1961-10-14;13.0;Y
1961-10-15 00:00:01;1961-10-16 00:00:00;1961-10-15;12.4;Y
1961-10-16 00:00:01;1961-10-17 00:00:00;1961-10-16;11.5;Y
1961-10-17 00:00:01;1961-10-18 00:00:00;1961-10-17;9.2;Y
1961-10-18 00:00:01;1961-10-19 00:00:00;1961-10-18;10.3;Y
1961-10-19 00:00:01;1961-10-20 00:00:00;1961-10-19;12.0;Y
1961-10-20 00:00:01;1961-10-21 00:00:00;1961-10-20;13.2;Y
1961-10-21 00:00:01;1961-10-22 00:00:00;1961-10-21;12.0;Y
1961-10-22 00:00:01;1961-10-23 00:00:00;1961-10-22;11.6;Y
1961-10-23 00:00:01;1961-10-24 00:00:00;1961-10-23;9.7;Y
1961-10-24 00:00:01;1961-10-25 00:00:00;1961-10-24;10.3;Y
1961-10-25 00:00:01;1961-10-26 00:00:00;1961-10-25;11.5;Y
1961-10-26 00:00:01;1961-10-27 00:00:00;1961-10-26;9.3;Y
1961-10-27 00:00:01;1961-10-28 00:00:00;1961-10-27;9.7;Y
1961-10-28 00:00:01;1961-10-29 00:00:00;1961-10-28;10.1;Y
1961-10-29 00:00:01;1961-10-30 00:00:00;1961-10-29;9.0;Y
1961-10-30 00:00:01;1961-10-31 00:00:00;1961-10-30;7.7;Y
1961-10-31 00:00:01;1961-11-01 00:00:00;1961-10-31;7.5;Y
1961-11-01 00:00:01;1961-11-02 00:00:00;1961-11-01;6.1;Y
1961-11-02 00:00:01;1961-11-03 00:00:00;1961-11-02;9.4;Y
1961-11-03 00:00:01;1961-11-04 00:00:00;1961-11-03;8.4;Y
1961-11-04 00:00:01;1961-11-05 00:00:00;1961-11-04;4.0;Y
1961-11-05 00:00:01;1961-11-06 00:00:00;1961-11-05;1.9;Y
1961-11-06 00:00:01;1961-11-07 00:00:00;1961-11-06;0.9;Y
1961-11-07 00:00:01;1961-11-08 00:00:00;1961-11-07;3.0;Y
1961-11-08 00:00:01;1961-11-09 00:00:00;1961-11-08;8.6;Y
1961-11-09 00:00:01;1961-11-10 00:00:00;1961-11-09;7.9;Y
1961-11-10 00:00:01;1961-11-11 00:00:00;1961-11-10;8.4;Y
1961-11-11 00:00:01;1961-11-12 00:00:00;1961-11-11;8.2;Y
1961-11-12 00:00:01;1961-11-13 00:00:00;1961-11-12;5.7;Y
1961-11-13 00:00:01;1961-11-14 00:00:00;1961-11-13;2.0;Y
1961-11-14 00:00:01;1961-11-15 00:00:00;1961-11-14;1.1;Y
1961-11-15 00:00:01;1961-11-16 00:00:00;1961-11-15;3.6;Y
1961-11-16 00:00:01;1961-11-17 00:00:00;1961-11-16;1.8;Y
1961-11-17 00:00:01;1961-11-18 00:00:00;1961-11-17;2.3;Y
1961-11-18 00:00:01;1961-11-19 00:00:00;1961-11-18;2.7;Y
1961-11-19 00:00:01;1961-11-20 00:00:00;1961-11-19;-0.3;Y
1961-11-20 00:00:01;1961-11-21 00:00:00;1961-11-20;1.7;Y
1961-11-21 00:00:01;1961-11-22 00:00:00;1961-11-21;4.8;Y
1961-11-22 00:00:01;1961-11-23 00:00:00;1961-11-22;2.8;Y
1961-11-23 00:00:01;1961-11-24 00:00:00;1961-11-23;-0.7;Y
