Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kalmar;66640;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1963-06-01 23:59:59;7.0;56.67;16.35

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1961-04-14 00:00:01;1961-04-15 00:00:00;1961-04-14;7.8;Y
1961-04-15 00:00:01;1961-04-16 00:00:00;1961-04-15;10.4;Y
1961-04-16 00:00:01;1961-04-17 00:00:00;1961-04-16;7.8;Y
1961-04-17 00:00:01;1961-04-18 00:00:00;1961-04-17;5.9;Y
1961-04-18 00:00:01;1961-04-19 00:00:00;1961-04-18;9.4;Y
1961-04-19 00:00:01;1961-04-20 00:00:00;1961-04-19;7.1;Y
1961-04-20 00:00:01;1961-04-21 00:00:00;1961-04-20;5.7;Y
1961-04-21 00:00:01;1961-04-22 00:00:00;1961-04-21;5.4;Y
1961-04-22 00:00:01;1961-04-23 00:00:00;1961-04-22;7.6;Y
1961-04-23 00:00:01;1961-04-24 00:00:00;1961-04-23;9.5;Y
1961-04-24 00:00:01;1961-04-25 00:00:00;1961-04-24;10.5;Y
1961-04-25 00:00:01;1961-04-26 00:00:00;1961-04-25;10.5;Y
1961-04-26 00:00:01;1961-04-27 00:00:00;1961-04-26;10.5;Y
1961-04-27 00:00:01;1961-04-28 00:00:00;1961-04-27;11.4;Y
1961-04-28 00:00:01;1961-04-29 00:00:00;1961-04-28;7.0;Y
1961-04-29 00:00:01;1961-04-30 00:00:00;1961-04-29;5.7;Y
1961-04-30 00:00:01;1961-05-01 00:00:00;1961-04-30;6.7;Y
1961-05-01 00:00:01;1961-05-02 00:00:00;1961-05-01;6.7;Y
1961-05-02 00:00:01;1961-05-03 00:00:00;1961-05-02;6.0;Y
1961-05-03 00:00:01;1961-05-04 00:00:00;1961-05-03;8.2;Y
1961-05-04 00:00:01;1961-05-05 00:00:00;1961-05-04;9.7;Y
1961-05-05 00:00:01;1961-05-06 00:00:00;1961-05-05;10.4;Y
1961-05-06 00:00:01;1961-05-07 00:00:00;1961-05-06;13.4;Y
1961-05-07 00:00:01;1961-05-08 00:00:00;1961-05-07;10.1;Y
1961-05-08 00:00:01;1961-05-09 00:00:00;1961-05-08;8.6;Y
1961-05-09 00:00:01;1961-05-10 00:00:00;1961-05-09;8.8;Y
1961-05-10 00:00:01;1961-05-11 00:00:00;1961-05-10;7.2;Y
1961-05-11 00:00:01;1961-05-12 00:00:00;1961-05-11;7.3;Y
1961-05-12 00:00:01;1961-05-13 00:00:00;1961-05-12;7.8;Y
1961-05-13 00:00:01;1961-05-14 00:00:00;1961-05-13;9.1;Y
1961-05-14 00:00:01;1961-05-15 00:00:00;1961-05-14;7.2;Y
1961-05-15 00:00:01;1961-05-16 00:00:00;1961-05-15;7.7;Y
1961-05-16 00:00:01;1961-05-17 00:00:00;1961-05-16;8.6;Y
1961-05-17 00:00:01;1961-05-18 00:00:00;1961-05-17;9.2;Y
1961-05-18 00:00:01;1961-05-19 00:00:00;1961-05-18;10.2;Y
1961-05-19 00:00:01;1961-05-20 00:00:00;1961-05-19;9.4;Y
1961-05-20 00:00:01;1961-05-21 00:00:00;1961-05-20;9.2;Y
1961-05-21 00:00:01;1961-05-22 00:00:00;1961-05-21;10.4;Y
1961-05-22 00:00:01;1961-05-23 00:00:00;1961-05-22;11.6;Y
1961-05-23 00:00:01;1961-05-24 00:00:00;1961-05-23;10.1;Y
1961-05-24 00:00:01;1961-05-25 00:00:00;1961-05-24;14.2;Y
1961-05-25 00:00:01;1961-05-26 00:00:00;1961-05-25;13.3;Y
1961-05-26 00:00:01;1961-05-27 00:00:00;1961-05-26;10.4;Y
1961-05-27 00:00:01;1961-05-28 00:00:00;1961-05-27;10.1;Y
1961-05-28 00:00:01;1961-05-29 00:00:00;1961-05-28;9.4;Y
1961-05-29 00:00:01;1961-05-30 00:00:00;1961-05-29;9.1;Y
1961-05-30 00:00:01;1961-05-31 00:00:00;1961-05-30;12.5;Y
1961-05-31 00:00:01;1961-06-01 00:00:00;1961-05-31;12.0;Y
1961-06-01 00:00:01;1961-06-02 00:00:00;1961-06-01;13.4;Y
1961-06-02 00:00:01;1961-06-03 00:00:00;1961-06-02;15.3;Y
1961-06-03 00:00:01;1961-06-04 00:00:00;1961-06-03;14.3;Y
1961-06-04 00:00:01;1961-06-05 00:00:00;1961-06-04;17.1;Y
1961-06-05 00:00:01;1961-06-06 00:00:00;1961-06-05;18.2;Y
1961-06-06 00:00:01;1961-06-07 00:00:00;1961-06-06;20.1;Y
1961-06-07 00:00:01;1961-06-08 00:00:00;1961-06-07;17.5;Y
1961-06-08 00:00:01;1961-06-09 00:00:00;1961-06-08;17.5;Y
1961-06-09 00:00:01;1961-06-10 00:00:00;1961-06-09;16.7;Y
1961-06-10 00:00:01;1961-06-11 00:00:00;1961-06-10;16.6;Y
1961-06-11 00:00:01;1961-06-12 00:00:00;1961-06-11;14.9;Y
1961-06-12 00:00:01;1961-06-13 00:00:00;1961-06-12;15.0;Y
1961-06-13 00:00:01;1961-06-14 00:00:00;1961-06-13;15.1;Y
1961-06-14 00:00:01;1961-06-15 00:00:00;1961-06-14;15.3;Y
1961-06-15 00:00:01;1961-06-16 00:00:00;1961-06-15;14.5;Y
1961-06-16 00:00:01;1961-06-17 00:00:00;1961-06-16;13.3;Y
1961-06-17 00:00:01;1961-06-18 00:00:00;1961-06-17;17.1;Y
1961-06-18 00:00:01;1961-06-19 00:00:00;1961-06-18;16.9;Y
1961-06-19 00:00:01;1961-06-20 00:00:00;1961-06-19;15.4;Y
1961-06-20 00:00:01;1961-06-21 00:00:00;1961-06-20;14.9;Y
1961-06-21 00:00:01;1961-06-22 00:00:00;1961-06-21;15.4;Y
1961-06-22 00:00:01;1961-06-23 00:00:00;1961-06-22;13.8;Y
1961-06-23 00:00:01;1961-06-24 00:00:00;1961-06-23;15.6;Y
1961-06-24 00:00:01;1961-06-25 00:00:00;1961-06-24;15.7;Y
1961-06-25 00:00:01;1961-06-26 00:00:00;1961-06-25;17.7;Y
1961-06-26 00:00:01;1961-06-27 00:00:00;1961-06-26;16.4;Y
1961-06-27 00:00:01;1961-06-28 00:00:00;1961-06-27;16.4;Y
1961-06-28 00:00:01;1961-06-29 00:00:00;1961-06-28;14.8;Y
1961-06-29 00:00:01;1961-06-30 00:00:00;1961-06-29;17.0;Y
1961-06-30 00:00:01;1961-07-01 00:00:00;1961-06-30;18.8;Y
1961-07-01 00:00:01;1961-07-02 00:00:00;1961-07-01;17.8;Y
1961-07-02 00:00:01;1961-07-03 00:00:00;1961-07-02;20.6;Y
1961-07-03 00:00:01;1961-07-04 00:00:00;1961-07-03;19.3;Y
1961-07-04 00:00:01;1961-07-05 00:00:00;1961-07-04;14.0;Y
1961-07-05 00:00:01;1961-07-06 00:00:00;1961-07-05;13.7;Y
1961-07-06 00:00:01;1961-07-07 00:00:00;1961-07-06;12.7;Y
1961-07-07 00:00:01;1961-07-08 00:00:00;1961-07-07;13.1;Y
1961-07-08 00:00:01;1961-07-09 00:00:00;1961-07-08;12.9;Y
1961-07-09 00:00:01;1961-07-10 00:00:00;1961-07-09;15.1;Y
1961-07-10 00:00:01;1961-07-11 00:00:00;1961-07-10;13.1;Y
1961-07-11 00:00:01;1961-07-12 00:00:00;1961-07-11;15.6;Y
1961-07-12 00:00:01;1961-07-13 00:00:00;1961-07-12;14.5;Y
1961-07-13 00:00:01;1961-07-14 00:00:00;1961-07-13;15.2;Y
1961-07-14 00:00:01;1961-07-15 00:00:00;1961-07-14;15.5;Y
1961-07-15 00:00:01;1961-07-16 00:00:00;1961-07-15;15.0;Y
1961-07-16 00:00:01;1961-07-17 00:00:00;1961-07-16;15.4;Y
1961-07-17 00:00:01;1961-07-18 00:00:00;1961-07-17;15.7;Y
1961-07-18 00:00:01;1961-07-19 00:00:00;1961-07-18;13.7;Y
1961-07-19 00:00:01;1961-07-20 00:00:00;1961-07-19;14.6;Y
1961-07-20 00:00:01;1961-07-21 00:00:00;1961-07-20;15.8;Y
1961-07-21 00:00:01;1961-07-22 00:00:00;1961-07-21;15.1;Y
1961-07-22 00:00:01;1961-07-23 00:00:00;1961-07-22;16.1;Y
1961-07-23 00:00:01;1961-07-24 00:00:00;1961-07-23;14.5;Y
1961-07-24 00:00:01;1961-07-25 00:00:00;1961-07-24;17.0;Y
1961-07-25 00:00:01;1961-07-26 00:00:00;1961-07-25;15.1;Y
1961-07-26 00:00:01;1961-07-27 00:00:00;1961-07-26;14.3;Y
1961-07-27 00:00:01;1961-07-28 00:00:00;1961-07-27;14.5;Y
1961-07-28 00:00:01;1961-07-29 00:00:00;1961-07-28;14.1;Y
1961-07-29 00:00:01;1961-07-30 00:00:00;1961-07-29;14.9;Y
1961-07-30 00:00:01;1961-07-31 00:00:00;1961-07-30;15.6;Y
1961-07-31 00:00:01;1961-08-01 00:00:00;1961-07-31;13.8;Y
1961-08-01 00:00:01;1961-08-02 00:00:00;1961-08-01;15.7;Y
1961-08-02 00:00:01;1961-08-03 00:00:00;1961-08-02;16.1;Y
1961-08-03 00:00:01;1961-08-04 00:00:00;1961-08-03;14.2;Y
1961-08-04 00:00:01;1961-08-05 00:00:00;1961-08-04;12.7;Y
1961-08-05 00:00:01;1961-08-06 00:00:00;1961-08-05;16.1;Y
1961-08-06 00:00:01;1961-08-07 00:00:00;1961-08-06;17.4;Y
1961-08-07 00:00:01;1961-08-08 00:00:00;1961-08-07;14.5;Y
1961-08-08 00:00:01;1961-08-09 00:00:00;1961-08-08;13.6;Y
1961-08-09 00:00:01;1961-08-10 00:00:00;1961-08-09;17.4;Y
1961-08-10 00:00:01;1961-08-11 00:00:00;1961-08-10;14.4;Y
1961-08-11 00:00:01;1961-08-12 00:00:00;1961-08-11;14.7;Y
1961-08-12 00:00:01;1961-08-13 00:00:00;1961-08-12;14.6;Y
1961-08-13 00:00:01;1961-08-14 00:00:00;1961-08-13;15.0;Y
1961-08-14 00:00:01;1961-08-15 00:00:00;1961-08-14;13.2;Y
1961-08-15 00:00:01;1961-08-16 00:00:00;1961-08-15;13.9;Y
1961-08-16 00:00:01;1961-08-17 00:00:00;1961-08-16;12.3;Y
1961-08-17 00:00:01;1961-08-18 00:00:00;1961-08-17;12.1;Y
1961-08-18 00:00:01;1961-08-19 00:00:00;1961-08-18;14.5;Y
1961-08-19 00:00:01;1961-08-20 00:00:00;1961-08-19;13.0;Y
1961-08-20 00:00:01;1961-08-21 00:00:00;1961-08-20;14.8;Y
1961-08-21 00:00:01;1961-08-22 00:00:00;1961-08-21;14.8;Y
1961-08-22 00:00:01;1961-08-23 00:00:00;1961-08-22;14.7;Y
1961-08-23 00:00:01;1961-08-24 00:00:00;1961-08-23;13.2;Y
1961-08-24 00:00:01;1961-08-25 00:00:00;1961-08-24;14.1;Y
1961-08-25 00:00:01;1961-08-26 00:00:00;1961-08-25;13.8;Y
1961-08-26 00:00:01;1961-08-27 00:00:00;1961-08-26;11.8;Y
1961-08-27 00:00:01;1961-08-28 00:00:00;1961-08-27;16.7;Y
1961-08-28 00:00:01;1961-08-29 00:00:00;1961-08-28;15.4;Y
1961-08-29 00:00:01;1961-08-30 00:00:00;1961-08-29;15.6;Y
1961-08-30 00:00:01;1961-08-31 00:00:00;1961-08-30;15.9;Y
1961-08-31 00:00:01;1961-09-01 00:00:00;1961-08-31;16.0;Y
1961-09-01 00:00:01;1961-09-02 00:00:00;1961-09-01;16.0;Y
1961-09-02 00:00:01;1961-09-03 00:00:00;1961-09-02;18.3;Y
1961-09-03 00:00:01;1961-09-04 00:00:00;1961-09-03;16.3;Y
1961-09-04 00:00:01;1961-09-05 00:00:00;1961-09-04;14.1;Y
1961-09-05 00:00:01;1961-09-06 00:00:00;1961-09-05;13.6;Y
1961-09-06 00:00:01;1961-09-07 00:00:00;1961-09-06;14.8;Y
1961-09-07 00:00:01;1961-09-08 00:00:00;1961-09-07;13.9;Y
1961-09-08 00:00:01;1961-09-09 00:00:00;1961-09-08;12.8;Y
1961-09-09 00:00:01;1961-09-10 00:00:00;1961-09-09;13.0;Y
1961-09-10 00:00:01;1961-09-11 00:00:00;1961-09-10;12.0;Y
1961-09-11 00:00:01;1961-09-12 00:00:00;1961-09-11;15.1;Y
1961-09-12 00:00:01;1961-09-13 00:00:00;1961-09-12;15.3;Y
1961-09-13 00:00:01;1961-09-14 00:00:00;1961-09-13;13.5;Y
1961-09-14 00:00:01;1961-09-15 00:00:00;1961-09-14;13.9;Y
1961-09-15 00:00:01;1961-09-16 00:00:00;1961-09-15;14.6;Y
1961-09-16 00:00:01;1961-09-17 00:00:00;1961-09-16;17.3;Y
1961-09-17 00:00:01;1961-09-18 00:00:00;1961-09-17;16.1;Y
1961-09-18 00:00:01;1961-09-19 00:00:00;1961-09-18;15.8;Y
1961-09-19 00:00:01;1961-09-20 00:00:00;1961-09-19;12.7;Y
1961-09-20 00:00:01;1961-09-21 00:00:00;1961-09-20;11.0;Y
1961-09-21 00:00:01;1961-09-22 00:00:00;1961-09-21;13.3;Y
1961-09-22 00:00:01;1961-09-23 00:00:00;1961-09-22;13.4;Y
1961-09-23 00:00:01;1961-09-24 00:00:00;1961-09-23;10.5;Y
1961-09-24 00:00:01;1961-09-25 00:00:00;1961-09-24;11.1;Y
1961-09-25 00:00:01;1961-09-26 00:00:00;1961-09-25;10.0;Y
1961-09-26 00:00:01;1961-09-27 00:00:00;1961-09-26;11.8;Y
1961-09-27 00:00:01;1961-09-28 00:00:00;1961-09-27;9.6;Y
1961-09-28 00:00:01;1961-09-29 00:00:00;1961-09-28;12.9;Y
1961-09-29 00:00:01;1961-09-30 00:00:00;1961-09-29;14.5;Y
1961-09-30 00:00:01;1961-10-01 00:00:00;1961-09-30;13.6;Y
1961-10-01 00:00:01;1961-10-02 00:00:00;1961-10-01;12.5;Y
1961-10-02 00:00:01;1961-10-03 00:00:00;1961-10-02;12.7;Y
1961-10-03 00:00:01;1961-10-04 00:00:00;1961-10-03;12.9;Y
1961-10-04 00:00:01;1961-10-05 00:00:00;1961-10-04;13.1;Y
1961-10-05 00:00:01;1961-10-06 00:00:00;1961-10-05;13.8;Y
1961-10-06 00:00:01;1961-10-07 00:00:00;1961-10-06;13.6;Y
1961-10-07 00:00:01;1961-10-08 00:00:00;1961-10-07;13.0;Y
1961-10-08 00:00:01;1961-10-09 00:00:00;1961-10-08;11.8;Y
1961-10-09 00:00:01;1961-10-10 00:00:00;1961-10-09;12.7;Y
1961-10-10 00:00:01;1961-10-11 00:00:00;1961-10-10;13.3;Y
1961-10-11 00:00:01;1961-10-12 00:00:00;1961-10-11;13.4;Y
1961-10-12 00:00:01;1961-10-13 00:00:00;1961-10-12;11.5;Y
1961-10-13 00:00:01;1961-10-14 00:00:00;1961-10-13;10.1;Y
1961-10-14 00:00:01;1961-10-15 00:00:00;1961-10-14;12.1;Y
1961-10-15 00:00:01;1961-10-16 00:00:00;1961-10-15;11.4;Y
1961-10-16 00:00:01;1961-10-17 00:00:00;1961-10-16;11.1;Y
1961-10-17 00:00:01;1961-10-18 00:00:00;1961-10-17;9.9;Y
1961-10-18 00:00:01;1961-10-19 00:00:00;1961-10-18;11.2;Y
1961-10-19 00:00:01;1961-10-20 00:00:00;1961-10-19;11.3;Y
1961-10-20 00:00:01;1961-10-21 00:00:00;1961-10-20;12.4;Y
1961-10-21 00:00:01;1961-10-22 00:00:00;1961-10-21;12.0;Y
1961-10-22 00:00:01;1961-10-23 00:00:00;1961-10-22;10.7;Y
1961-10-23 00:00:01;1961-10-24 00:00:00;1961-10-23;10.4;Y
1961-10-24 00:00:01;1961-10-25 00:00:00;1961-10-24;9.8;Y
1961-10-25 00:00:01;1961-10-26 00:00:00;1961-10-25;11.7;Y
1961-10-26 00:00:01;1961-10-27 00:00:00;1961-10-26;10.3;Y
1961-10-27 00:00:01;1961-10-28 00:00:00;1961-10-27;11.1;Y
1961-10-28 00:00:01;1961-10-29 00:00:00;1961-10-28;10.8;Y
1961-10-29 00:00:01;1961-10-30 00:00:00;1961-10-29;8.8;Y
1961-10-30 00:00:01;1961-10-31 00:00:00;1961-10-30;7.6;Y
1961-10-31 00:00:01;1961-11-01 00:00:00;1961-10-31;8.0;Y
1961-11-01 00:00:01;1961-11-02 00:00:00;1961-11-01;7.5;Y
1961-11-02 00:00:01;1961-11-03 00:00:00;1961-11-02;9.7;Y
1961-11-03 00:00:01;1961-11-04 00:00:00;1961-11-03;9.2;Y
1961-11-04 00:00:01;1961-11-05 00:00:00;1961-11-04;4.5;Y
1961-11-05 00:00:01;1961-11-06 00:00:00;1961-11-05;1.9;Y
1961-11-06 00:00:01;1961-11-07 00:00:00;1961-11-06;2.2;Y
1961-11-07 00:00:01;1961-11-08 00:00:00;1961-11-07;7.5;Y
1961-11-08 00:00:01;1961-11-09 00:00:00;1961-11-08;8.8;Y
1961-11-09 00:00:01;1961-11-10 00:00:00;1961-11-09;7.4;Y
1961-11-10 00:00:01;1961-11-11 00:00:00;1961-11-10;8.2;Y
1961-11-11 00:00:01;1961-11-12 00:00:00;1961-11-11;8.8;Y
1961-11-12 00:00:01;1961-11-13 00:00:00;1961-11-12;6.7;Y
1961-11-13 00:00:01;1961-11-14 00:00:00;1961-11-13;4.2;Y
1961-11-14 00:00:01;1961-11-15 00:00:00;1961-11-14;3.0;Y
1961-11-15 00:00:01;1961-11-16 00:00:00;1961-11-15;1.1;Y
1961-11-16 00:00:01;1961-11-17 00:00:00;1961-11-16;2.9;Y
1961-11-17 00:00:01;1961-11-18 00:00:00;1961-11-17;2.8;Y
1961-11-18 00:00:01;1961-11-19 00:00:00;1961-11-18;2.7;Y
1961-11-19 00:00:01;1961-11-20 00:00:00;1961-11-19;0.3;Y
1961-11-20 00:00:01;1961-11-21 00:00:00;1961-11-20;-1.1;Y
1961-11-21 00:00:01;1961-11-22 00:00:00;1961-11-21;4.0;Y
1961-11-22 00:00:01;1961-11-23 00:00:00;1961-11-22;3.8;Y
1961-11-23 00:00:01;1961-11-24 00:00:00;1961-11-23;-0.6;Y
1961-11-24 00:00:01;1961-11-25 00:00:00;1961-11-24;2.7;Y
1961-11-25 00:00:01;1961-11-26 00:00:00;1961-11-25;3.5;Y
1961-11-26 00:00:01;1961-11-27 00:00:00;1961-11-26;3.2;Y
1961-11-27 00:00:01;1961-11-28 00:00:00;1961-11-27;1.5;Y
1961-11-28 00:00:01;1961-11-29 00:00:00;1961-11-28;-2.7;Y
1961-11-29 00:00:01;1961-11-30 00:00:00;1961-11-29;3.6;Y
1961-11-30 00:00:01;1961-12-01 00:00:00;1961-11-30;3.7;Y
1961-12-01 00:00:01;1961-12-02 00:00:00;1961-12-01;2.6;Y
1961-12-02 00:00:01;1961-12-03 00:00:00;1961-12-02;2.0;Y
1961-12-03 00:00:01;1961-12-04 00:00:00;1961-12-03;3.1;Y
1961-12-04 00:00:01;1961-12-05 00:00:00;1961-12-04;1.6;Y
1961-12-05 00:00:01;1961-12-06 00:00:00;1961-12-05;5.5;Y
1961-12-06 00:00:01;1961-12-07 00:00:00;1961-12-06;3.8;Y
1961-12-07 00:00:01;1961-12-08 00:00:00;1961-12-07;1.1;Y
1961-12-08 00:00:01;1961-12-09 00:00:00;1961-12-08;-0.5;Y
1961-12-09 00:00:01;1961-12-10 00:00:00;1961-12-09;-1.6;Y
1961-12-10 00:00:01;1961-12-11 00:00:00;1961-12-10;1.8;Y
1961-12-11 00:00:01;1961-12-12 00:00:00;1961-12-11;2.3;Y
1961-12-12 00:00:01;1961-12-13 00:00:00;1961-12-12;1.2;Y
1961-12-13 00:00:01;1961-12-14 00:00:00;1961-12-13;-2.4;Y
1961-12-14 00:00:01;1961-12-15 00:00:00;1961-12-14;-1.3;Y
1961-12-15 00:00:01;1961-12-16 00:00:00;1961-12-15;-3.8;Y
1961-12-16 00:00:01;1961-12-17 00:00:00;1961-12-16;-1.5;Y
1961-12-17 00:00:01;1961-12-18 00:00:00;1961-12-17;-4.4;Y
1961-12-18 00:00:01;1961-12-19 00:00:00;1961-12-18;-0.3;Y
1961-12-19 00:00:01;1961-12-20 00:00:00;1961-12-19;1.0;Y
1961-12-20 00:00:01;1961-12-21 00:00:00;1961-12-20;3.3;Y
1961-12-21 00:00:01;1961-12-22 00:00:00;1961-12-21;-3.4;Y
